kdelibs4support 5.60.0-1
kdenetwork-filesharing 19.04.3-1
kdeplasma-addons 5.16.3-1
kdesu 5.60.0-1
kdiagram 2.6.1-1
kdialog 19.04.3-1
kdnssd 5.60.0-1
kdoctools 5.60.0-1
keditbookmarks 19.04.3-1
kemoticons 5.60.0-1
keyutils 1.6-1
kfilemetadata 5.60.0-1
kfind 19.04.3-1
kgamma5 5.16.3-1
kget 19.04.3-1
kglobalaccel 5.60.0-1
kguiaddons 5.60.0-1
khelpcenter 19.04.3-1
kholidays 1:5.60.0-1
khotkeys 5.16.3-1
khtml 5.60.0-1
ki18n 5.60.0-1
kiconthemes 5.60.0-1
kidletime 5.60.0-1
kimageformats 5.60.0-1
kinfocenter 5.16.3-1
kinit 5.60.0-1
kio 5.60.0-1
kio-extras 19.04.3-1
kirigami2 5.60.0-1
kitemmodels 5.60.0-1
kitemviews 5.60.0-1
kjobwidgets 5.60.0-1
kjs 5.60.0-1
kjsembed 5.60.0-1
kmenuedit 5.16.3-1
kmod 26-2
knetattach 5.16.3-2
knewstuff 5.60.0-1
knotifications 5.60.0-1
knotifyconfig 5.60.0-1
konsole 19.04.3-1
konversation 1.7.5-1
kpackage 5.60.0-1
kparts 5.60.0-1
kpeople 5.60.0-1
kpmcore 4.0.0-3
kpty 5.60.0-1
krb5 1.17-1
kross 5.60.0-1
krunner 5.60.0-1
kscreen 5.16.3-1
kscreenlocker 5.16.3-1
kservice 5.60.0-1
ksshaskpass 5.16.3-1
ksysguard 5.16.3-1
ksystemlog 19.04.3-1
ktexteditor 5.60.0-1
ktextwidgets 5.60.0-1
kunitconversion 5.60.0-1
kwallet 5.60.0-1
kwallet-pam 5.16.3-1
kwalletmanager 19.04.3-1
kwayland 5.60.0-1
kwayland-integration 5.16.3-1
kwidgetsaddons 5.60.0-1
kwin 5.16.3-1
kwindowsystem 5.60.0-1
kwrited 5.16.3-1
kxmlgui 5.60.0-1
l-smash 2.14.5-1
ladspa 1.15-1
lame 3.100-2
lcms2 2.9-2
ldb 1:1.5.5-1
ldns 1.7.0-4
less 551-1
lib32-alsa-lib 1.1.9-1
lib32-alsa-plugins 1.1.9-1
lib32-attr 2.4.48-1
lib32-bzip2 1.0.8-2
lib32-dbus 1.12.16-1
lib32-expat 2.2.7-1
lib32-flac 1.3.2-2
lib32-flex 2.6.4-2
lib32-gcc-libs 9.1.0-2
lib32-glew 2.1.0-1
lib32-glib2 2.60.6-1
lib32-glibc 2.29-3.1
lib32-glu 9.0.0-4
lib32-icu 64.2-1
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcanberra-pulse 0.30+2+gc0620e4-1
lib32-libcap 2.27-1
lib32-libdrm 2.4.99-1
lib32-libelf 0.176-1
lib32-libffi 3.2.1-2
lib32-libgcrypt 1.8.4-1
lib32-libglvnd 1.1.1-1
lib32-libgpg-error 1.36-1
lib32-libice 1.0.9-3
lib32-libltdl 2.4.6+42+gb88cebd5-1
lib32-libogg 1.3.3-3
lib32-libpciaccess 0.16-1
lib32-libpulse 12.2-1
lib32-libsm 1.2.3-1
lib32-libsndfile 1.0.28-2
lib32-libva 2.4.0-1
lib32-libva-intel-driver 2.3.0-1
lib32-libva-mesa-driver 19.1.3-1
lib32-libva-vdpau-driver 0.7.4-6
lib32-libvdpau 1.2-1
lib32-libvorbis 1.3.6-1
lib32-libx11 1.6.8-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.13.1-1
lib32-libxdamage 1.1.5-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 5.0.3-2
lib32-libxi 1.7.9-2
lib32-libxml2 2.9.9-2
lib32-libxmu 1.1.3-1
lib32-libxshmfence 1.3-1
lib32-libxss 1.2.3-1
lib32-libxt 1.2.0-1
lib32-libxtst 1.2.3-2
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 8.0.1-1
lib32-lm_sensors 3.5.0-2
lib32-mesa 19.1.3-1
lib32-mesa-demos 8.4.0-1
lib32-mesa-vdpau 19.1.3-1
lib32-ncurses 6.1-4
lib32-pcre 8.43-1
lib32-readline 8.0.0-1
lib32-systemd 242.84-1
lib32-tdb 1.3.18-1
lib32-util-linux 2.34-1
lib32-vulkan-intel 19.1.3-1
lib32-vulkan-radeon 19.1.3-1
lib32-wayland 1.17.0-1
lib32-xz 5.2.4-1
lib32-zlib 1.2.11-2
libabw 0.1.2-1
libaccounts-glib 1.24-1
libaccounts-qt 1.15-2
libaio 0.3.112-1
libao 1.2.2-2
libappindicator-gtk3 12.10.0-13
libarchive 3.4.0-2
libass 0.14.0-1
libassuan 2.5.3-1
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libblockdev 2.22-1
libbluray 1.1.2-1
libbs2b 3.1.0-6
libbsd 0.9.1-1
libbytesize 2.0-1
libcaca 0.99.beta19-2
libcanberra 0.30+2+gc0620e4-2
libcanberra-gstreamer 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libcap 2.27-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.1.0-1
libcdio-paranoia 10.2+2.0.0-2
libcdr 0.1.5-2
libcmis 0.5.2-2
libcroco 0.6.13-1
libcue 2.2.1-1
libcups 2.2.11-2
libdaemon 0.14-4
libdatrie 0.2.12-1
